Value type,Sh group,Fishing.scen,Value
Livelihood,Cabin and sailing,Dec,-0.00733725
Livelihood,Cabin and sailing,Gil,-0.154832
Livelihood,Cabin and sailing,Inc,-0.0553352
Livelihood,Cabin and sailing,SQ,-0.103458
Livelihood,Local,Dec,0.0496752
Livelihood,Local,Gil,-0.174194
Livelihood,Local,Inc,-0.0224864
Livelihood,Local,SQ,-0.114689
Livelihood,Recreational user or professional,Dec,0.227893
Livelihood,Recreational user or professional,Gil,0.0189433
Livelihood,Recreational user or professional,Inc,0.159574
Livelihood,Recreational user or professional,SQ,0.107513
Recreation,Cabin and sailing,Dec,0.733195
Recreation,Cabin and sailing,Gil,-0.0687957
Recreation,Cabin and sailing,Inc,0.472228
Recreation,Cabin and sailing,SQ,0.270276
Recreation,Local,Dec,0.552038
Recreation,Local,Gil,0.0014844
Recreation,Local,Inc,0.373318
Recreation,Local,SQ,0.165568
Recreation,Recreational user or professional,Dec,1.14604
Recreation,Recreational user or professional,Gil,0.266653
Recreation,Recreational user or professional,Inc,0.85454
Recreation,Recreational user or professional,SQ,0.664686
